marca;modelo;pais;year_modelo;clase;sub_clase;avaluo;cilindraje;tipo_combustible
NISSAN;MICRA AC 1.2 5P 4X2 TM;ESPAÃÂA;2016;AUTOMOVIL;STATION WAGON;12943.02;1198;GASOLINA
MERCEDES BENZ;GLA 250 AC 2.0 5P 4X2 TA;ALEMANIA;2016;JEEP;JEEP;29736.88;1991;GASOLINA
FAW;CA6440A45 AC 1.5 5P 4X2 TM;CHINA POPULAR;2017;CAMIONETA;FURGONETA;13432.0;1495;GASOLINA
NISSAN;ROGUE AC 2.5 5P 4X2 TA;COREA DEL SUR;2016;JEEP;JEEP;28945.21;2500;GASOLINA
FORD;F150 XLT AC 3.5 CD 4X4 TA;ESTADOS UNIDOS;2017;CAMIONETA;DOBLE CABINA;54909.38;3500;GASOLINA
TOYOTA;4 RUNNER SR5 AC 4.0 5P 4X4 TA;JAPON;2016;JEEP;JEEP;48417.14;4000;GASOLINA
NISSAN;ROGUE AC 2.5 5P 4X4 TA;ESTADOS UNIDOS;2016;JEEP;JEEP;39066.5;2500;GASOLINA
BMW;X4 XDRIVE 20I AC 2.0 5P 4X4 TA;ALEMANIA;2017;JEEP;JEEP;81312.81;1997;GASOLINA
CHEVROLET;SAIL STD 1.4 4P 4X2 TM;ECUADOR;2017;AUTOMOVIL;SEDAN;14728.0;1398;GASOLINA
HYUNDAI;TUCSON TL AC 2.0 5P 4X2 TM;COREA DEL SUR;2017;JEEP;JEEP;31992.0;2000;GASOLINA
MAZDA;NUEVO MAZDA3 AC 2.0 4P 4X2 TM;MEXICO;2017;AUTOMOVIL;SEDAN;27192.0;2000;GASOLINA
CHEVROLET;VITARA 5P 4X4 T/M A/A;ECUADOR;1999;JEEP;JEEP;1957.5;1600;GASOLINA
MITSUBISHI;OUTLANDER SPORT AC 2.0 5P 4X4 TA;ESTADOS UNIDOS;2015;JEEP;JEEP;10555.36;2000;GASOLINA
GOLDEN DRAGON;XML6531E22 AC 2.5 4P 4X2 TM DIESEL;CHINA POPULAR;2016;CAMIONETA;FURGONETA;19200.0;2771;DIESEL
FORD;ESCAPE S AC 2.5 5P 4X2 TA;ESTADOS UNIDOS;2018;JEEP;JEEP;47311.14;2400;GASOLINA
CHEVROLET;TAHOE AC 5.3 5P 4X2 TA;ESTADOS UNIDOS;2007;JEEP;JEEP;5036.21;5300;GASOLINA
FORD;EDGE SEL FWD AC 3.5 5P 4X2 TA;CANADA;2017;JEEP;JEEP;45592.0;3497;GASOLINA
PEUGEOT;208 ACT 16E BA4 AC 1.6 5P 4X2 TA;ESLOVAQUIA;2018;AUTOMOVIL;STATION WAGON;26990.0;1598;GASOLINA
TOYOTA;NEW RAV4 AC 2.5 5P 4X2 TA;JAPON;2017;JEEP;JEEP;39992.0;2494;GASOLINA
HONDA;CR-V AC 2.4 5P 4X2 TA;CANADA;2018;JEEP;JEEP;46307.41;2400;GASOLINA
NISSAN;FRONTIER DX DOBLE CABINA 4X4 3.0 MT;JAPON;2008;CAMIONETA;PICK-UP;2750.0;3000;DIESEL
HYUNDAI;TUCSON TL AC 2.0 5P 4X2 TA;COREA DEL SUR;2016;JEEP;JEEP;23994.0;2000;GASOLINA
PEUGEOT;208 ACTIVE AC 1.6 5P 4X2 TM;ESLOVAQUIA;2017;AUTOMOVIL;STATION WAGON;19992.0;1598;GASOLINA
CHEVROLET;D-MAX TD AC 2.5 CS 4X2 TM DIESEL;ECUADOR;2018;CAMIONETA;CABINA SIMPLE;28990.77;2499;DIESEL
SUZUKI;IGNIS ALLGRIP AC 1.2 4P 4X2 TM;JAPON;2017;AUTOMOVIL;SEDAN;32131.94;1242;GASOLINA
